epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,35747.2,1.08407,0.88558,1.3539,0.86761,0.79522,0.85593,0.54177,1.37171,0.93183,1.63665,0.000247716,0.000247716,0.000247716
88,36146.6,1.07065,0.87117,1.33358,0.86971,0.79419,0.86141,0.53978,1.38373,0.94503,1.63469,0.000231213,0.000231213,0.000231213
89,36545.4,1.07944,0.87144,1.33996,0.86113,0.79133,0.85752,0.53635,1.37979,0.95292,1.64104,0.00021471,0.00021471,0.00021471
90,36940.2,1.07028,0.86016,1.3352,0.83968,0.80749,0.85561,0.53863,1.38677,0.95547,1.63398,0.000198206,0.000198206,0.000198206
91,37328.1,1.11367,0.80464,1.42333,0.86107,0.80128,0.85828,0.5315,1.3933,0.97654,1.63588,0.000181703,0.000181703,0.000181703
92,37718.7,1.08394,0.77411,1.38845,0.86513,0.79869,0.86081,0.53721,1.36688,0.95885,1.62,0.0001652,0.0001652,0.0001652
93,38108.9,1.08282,0.76343,1.38627,0.87208,0.79385,0.86158,0.53053,1.38203,0.95706,1.63286,0.000148696,0.000148696,0.000148696
94,38533.3,1.07293,0.76546,1.37856,0.85706,0.8053,0.85836,0.53657,1.37389,0.9659,1.62481,0.000132193,0.000132193,0.000132193
95,38973.8,1.06985,0.75839,1.37698,0.86125,0.80872,0.85712,0.53761,1.36654,0.95335,1.61984,0.00011569,0.00011569,0.00011569
96,39423.2,1.07232,0.75448,1.3709,0.85446,0.81198,0.84987,0.53366,1.35728,0.94783,1.62367,9.91865e-05,9.91865e-05,9.91865e-05
97,39872.4,1.05728,0.74778,1.36847,0.85269,0.81254,0.85561,0.53783,1.36659,0.94404,1.62752,8.26832e-05,8.26832e-05,8.26832e-05
98,40325.9,1.05315,0.73715,1.36533,0.8631,0.80093,0.85346,0.54036,1.35856,0.93667,1.62043,6.61799e-05,6.61799e-05,6.61799e-05
99,40777.9,1.05471,0.73183,1.36365,0.86214,0.80615,0.85379,0.53996,1.36834,0.93824,1.62751,4.96766e-05,4.96766e-05,4.96766e-05
100,41183.7,1.04733,0.73989,1.3549,0.85835,0.79785,0.85289,0.54002,1.35752,0.93419,1.6216,3.31733e-05,3.31733e-05,3.31733e-05
